Source,Target
68337,224537
68337,257991
68337,325462
68337,325463
68337,325464
97936,125260
97936,289554
97936,323290
125260,289554
125260,323290
219348,231919
224537,257991
224537,325462
224537,325463
224537,325464
231919,258014
257991,325462
257991,325463
257991,325464
289554,323290
325462,325463
325462,325464
325463,325464
12496,35118
12496,35120
12496,35121
12496,47735
12496,54225
12496,54226
35118,35120
35118,35121
35118,47735
35118,54225
35118,54226
35120,35121
35120,47735
35120,54225
35120,54226
35121,47735
35121,54225
35121,54226
47735,54225
47735,54226
54225,54226
10893,68999
10893,262963
10893,262964
10893,264423
10893,269951
68999,188112
68999,264423
68999,269951
182256,256303
182256,256304
182256,256305
182256,262963
188112,264423
188112,269951
256303,256304
256303,256305
256303,262963
256304,256305
256304,262963
256305,262963
262963,262964
264423,269951
11303,11738
11303,120577
11303,129093
11303,162832
11303,206445
11303,206446
11303,222990
11303,223098
11738,120577
11738,129093
11738,162832
11738,206445
11738,206446
11738,222990
11738,223098
120577,129093
120577,162832
120577,206445
120577,206446
120577,222990
120577,223098
129093,206445
129093,206446
129093,222990
129093,223098
206445,206446
206445,222990
206445,223098
206446,222990
206446,223098
222990,223098
647,42777
647,172107
647,181038
647,350609
647,395256
31997,44436
31997,47508
31997,165025
31997,172108
31997,174637
31997,177363
31997,227233
31997,289538
31997,292672
42777,44436
42777,47508
42777,172107
42777,172108
42777,181038
42777,350609
42777,395256
44436,47508
44436,122961
44436,140280
44436,146262
44436,165025
44436,177363
44436,197804
44436,227233
44436,289538
44436,292672
47508,165025
47508,172107
47508,172108
47508,174637
47508,177363
47508,227233
47508,289538
47508,292672
79615,174636
79615,370902
98134,292672
98134,323950
98134,365042
98134,365043
98134,365044
122961,165025
122961,177363
122961,227233
122961,292672
122961,365043
122961,383485
140280,177363
140280,197804
146262,165025
165025,177363
165025,227233
165025,289538
165025,292672
172107,172108
172107,181038
172107,350609
172107,395256
172108,174637
174636,174637
174636,370902
177363,197804
177363,227233
177363,289538
177363,292672
181038,350609
181038,395256
227233,289538
227233,292672
289538,292672
292672,365042
292672,365043
292672,383485
323950,365044
350609,395256
365042,365043
365043,383485
77069,98523
77069,98525
98523,98524
98523,98525
98523,98526
98523,98527
98523,108481
98524,98526
98524,98527
98524,108481
98526,98527
98526,108481
98527,108481
5518,14169
5518,14319
5518,26468
5518,28553
5518,29495
14169,14319
14169,26468
14169,28553
14169,29495
14319,26468
14319,28553
14319,29495
26468,28553
26468,29495
28553,29495
96625,96626
96625,96627
96625,96628
96625,96629
96625,96630
96625,105005
96625,105006
96626,96627
96626,96628
96626,96629
96626,96630
96626,105005
96626,105006
96627,96628
96627,96629
96627,96630
96627,105005
96627,105006
96628,96629
96628,96630
96628,105005
96628,105006
96629,96630
96629,105005
96629,105006
96630,105005
96630,105006
105005,105006
63142,65710
63142,96997
63142,96998
63142,96999
63142,97000
63142,97001
65710,96997
65710,96998
65710,96999
65710,97000
65710,97001
96997,96998
96997,96999
96997,97000
96997,97001
96998,96999
96998,97000
96998,97001
96999,97000
96999,97001
97000,97001
25378,148738
25378,151555
25378,291027
25378,331512
25378,337298
25378,337299
25378,348522
25378,348523
148738,291027
148738,337298
148738,337299
148738,348522
151555,348522
151555,348523
291027,337298
291027,337299
291027,348522
331512,348522
337298,337299
337298,348522
337299,348522
348519,348520
348519,348521
348519,348522
348520,348521
348520,348522
348521,348522
348522,348523
47206,190289
47206,239016
47206,267438
47206,267439
47206,327074
47206,341050
47206,357465
190289,239016
190289,267438
190289,267439
190289,327074
190289,357465
239016,267439
239016,327074
239016,357465
267438,267439
267438,341050
267439,327074
267439,341050
267439,357465
327074,357465
19119,65660
19119,88958
19119,213958
19119,213960
47149,65660
47149,88958
47149,91815
47149,100922
47149,206914
47149,212786
47149,227493
65660,88958
65660,91815
65660,100922
65660,206914
65660,212786
65660,213958
65660,213960
65660,227493
88958,91815
88958,100922
88958,206914
88958,212786
88958,227493
91815,100922
91815,206914
91815,212786
91815,227493
100922,206914
100922,212786
100922,227493
206914,212786
206914,215066
206914,227493
206914,227494
212786,227493
213958,213959
213958,213960
213958,213961
213959,213960
213959,213961
213960,213961
215066,227494
187208,187209
187208,361970
187208,370467
187208,370468
187208,370469
187208,370470
187208,370471
187209,361970
187209,367283
187209,370467
187209,370468
187209,370469
187209,370470
187209,370471
187209,387929
187209,401644
361970,370467
361970,370469
361970,370470
361970,370471
367283,401644
370467,370468
370467,370470
370469,370470
370469,370471
370470,370471
183462,280432
183462,281129
183462,284344
183462,323658
183462,405023
280432,281129
280432,284344
280432,323658
280432,405023
281129,284344
281129,323658
281129,405023
284344,323658
284344,405023
323658,405023
44925,44926
44925,44927
44925,44928
44925,44929
44925,44930
44925,48885
44926,44927
44926,44928
44926,44929
44926,44930
44926,48885
44927,44928
44927,44929
44927,44930
44927,48885
44928,44929
44928,44930
44928,48885
44929,44930
44929,48885
44930,48885
100712,149906
100712,149908
100712,153583
100712,153584
100712,153585
149906,153584
149908,153583
149908,153584
149908,153585
153583,153584
153583,153585
153584,153585
73679,258795
73679,258796
73679,260539
73679,263295
73679,263296
73679,263315
258795,258796
258795,260539
258795,263295
258795,263296
258795,263315
258796,260539
258796,263295
258796,263296
258796,263315
260539,263295
260539,263296
260539,263315
263295,263296
263295,263315
263296,263315
7854,54311
7854,54312
7854,55497
7854,55498
7854,55499
7854,55500
7854,55501
54311,54312
54311,55497
54311,55498
54311,55499
54311,55500
54311,55501
54312,55497
54312,55498
54312,55499
54312,55500
54312,55501
55497,55498
55497,55499
55497,55500
55497,55501
55498,55499
55498,55500
55498,55501
55499,55500
55499,55501
55500,55501
1339,54492
1339,54493
1339,54494
1339,55722
1339,57259
54492,54493
54492,54494
54492,55722
54492,57259
54493,54494
54493,55722
54493,57259
54494,55722
54494,57259
55722,57259
81501,89408
81501,92650
81501,92651
81501,92652
81501,95193
89408,92650
89408,92651
89408,92652
89408,95193
92650,92651
92650,92652
92650,95193
92651,92652
92651,95193
92652,95193
288554,321209
288554,352425
288554,368364
288554,368366
321209,352425
321209,368364
321209,368366
321209,404572
321209,421204
352425,368364
352425,368366
368364,368366
368364,404572
368364,421204
404572,421204
1558,24529
1558,48841
1558,55226
1558,79381
1558,99565
1558,103938
1558,127131
1558,131396
1558,131397
24529,48841
24529,55226
24529,79381
24529,99565
24529,103938
24529,127131
24529,131396
24529,131397
48841,55226
48841,79381
48841,99565
48841,103938
48841,127131
48841,131396
48841,131397
55226,79381
55226,99565
55226,103938
55226,127131
55226,131396
55226,131397
79381,99565
79381,103938
79381,127131
79381,131396
79381,131397
99565,103938
99565,127131
99565,131396
99565,131397
103938,127131
103938,131396
103938,131397
127131,131396
127131,131397
131396,131397
236659,236660
236659,236661
236659,236662
236659,236663
236659,236664
236660,236661
236660,236662
236660,236663
236660,236664
236661,236662
236661,236663
236661,236664
236662,236663
236662,236664
236663,236664
57160,68671
57160,117485
57160,146869
57160,184305
57160,231895
68671,117485
68671,146869
68671,184305
68671,231895
117485,146869
117485,184305
117485,231895
146869,184305
146869,231895
184305,231895
151589,154008
151589,165336
151589,230653
151589,234419
151589,395907
154008,230653
154008,234419
154008,395907
165336,209527
165336,234419
165336,369278
165336,369279
209527,369278
209527,369279
230653,234419
230653,395907
234419,395907
369278,369279
20050,59575
20050,170605
20050,345162
59575,218960
59575,279247
59575,323065
59575,323067
170605,345162
218960,292639
218960,292640
218960,365764
279247,323065
279247,323067
292639,292640
292640,333647
292640,334906
292640,365764
292640,372934
292640,391272
292640,391273
292640,394918
292640,400602
323065,323067
333647,334906
372934,400602
391272,391273
45683,142594
45683,199078
45683,207658
45683,331680
45683,343360
45683,343361
45683,359985
142594,199078
142594,207658
142594,331680
142594,343360
142594,343361
142594,359985
199078,207658
199078,331680
199078,343360
199078,343361
199078,359985
207658,331680
207658,343360
207658,343361
207658,359985
331680,343360
331680,343361
331680,359985
343360,343361
343360,359985
343361,359985
190860,190861
190860,190862
190860,191006
190860,191007
190860,191099
190860,192588
190860,197225
190861,190862
190861,191006
190861,191007
190861,191099
190861,192588
190861,197225
190862,191006
190862,191007
190862,191099
190862,192588
190862,197225
191006,191007
191006,191099
191006,192588
191006,197225
191007,191099
191007,192588
191007,197225
191099,192588
191099,197225
192588,197225
90899,90900
90899,93399
90899,96469
90899,96470
90899,96523
90900,93399
90900,96469
90900,96470
90900,96523
93399,96469
93399,96470
93399,96523
96469,96470
96469,96523
96470,96523
26655,148246
26655,291108
26655,299088
26655,317221
148246,189444
148246,291108
148246,299088
148246,317221
189444,299088
291108,299088
291108,317221
299088,317221
12277,73902
12277,76922
12277,136502
12277,208023
12277,208024
12277,208025
73902,76922
73902,136502
73902,208023
73902,208024
73902,208025
76922,136502
76922,208023
76922,208024
76922,208025
136502,208023
136502,208024
136502,208025
208023,208024
208023,208025
208024,208025
113050,153672
153672,289494
153672,303822
153672,303823
153672,303824
153672,303825
153672,303826
153672,303829
153672,315696
153672,316371
153672,316372
289494,303829
289494,315696
289494,316371
289494,316372
303823,303824
303823,303825
303823,303826
303824,303825
303824,303826
303825,303826
303829,315696
303829,316371
303829,316372
315696,316371
315696,316372
316371,316372
163888,232597
163888,232598
163888,249692
163888,269615
164741,220930
164741,222878
164741,230412
164741,257473
164741,257474
220930,230412
220930,257473
220930,257474
222878,269615
222878,279116
230412,257473
230412,257474
232597,232598
232597,249692
232597,269615
232598,249692
232598,262220
249692,262220
257473,257474
269615,279116
141868,255978
141868,255979
141868,258192
141868,258351
141868,258352
141868,271763
141868,271764
141868,271765
141868,280425
255978,255979
255978,258192
255978,258351
255978,258352
255978,271763
255978,271764
255978,271765
255978,280425
255979,258192
255979,258351
255979,258352
255979,271763
255979,271764
255979,271765
255979,280425
258192,258351
258192,258352
258192,271763
258192,271764
258192,271765
258192,280425
258351,258352
258351,271763
258351,271764
258351,271765
258351,280425
258352,271763
258352,271764
258352,271765
258352,280425
271763,271764
271763,271765
271763,280425
271764,271765
271764,280425
271765,280425
196909,240912
196909,269073
196909,274227
196909,274228
196909,282342
240912,269073
240912,274227
240912,274228
269073,274227
269073,274228
274227,274228
274227,282342
44735,107285
44735,208357
44735,370431
44735,370432
44735,370433
44735,375547
44735,375548
107285,259787
208357,370431
208357,370432
208357,370433
208357,375547
208357,375548
370431,370432
370431,370433
370431,375547
370431,375548
370432,370433
370432,375547
370432,375548
370433,375547
370433,375548
375547,375548
198732,375490
198732,375491
198732,393428
198732,393429
198732,399609
375490,375491
375490,393428
375490,393429
375490,399609
375491,393428
375491,393429
375491,399609
393428,393429
393428,399609
393429,399609
69420,69421
69420,69422
69420,69423
69420,69424
69420,69425
69420,69426
69421,69422
69421,69423
69421,69424
69421,69425
69421,69426
69422,69423
69422,69424
69422,69425
69422,69426
69423,69424
69423,69425
69423,69426
69424,69425
69424,69426
69425,69426
10828,67282
10828,69706
10828,69707
10828,69708
10828,73491
67282,69706
67282,69707
67282,69708
67282,73491
69706,69707
69706,69708
69706,73491
69707,69708
69707,73491
69708,73491
104369,145548
104369,198320
104369,364386
104369,364387
104369,364388
104369,364389
104369,364390
145548,198320
145548,364386
145548,364387
145548,364388
145548,364389
145548,364390
198320,364386
198320,364387
198320,364388
198320,364389
198320,364390
335098,364390
364386,364387
364386,364388
364386,364389
364386,364390
364387,364388
364387,364389
364387,364390
364388,364389
364388,364390
364389,364390
193881,293281
193881,295380
193881,295381
193881,295382
193881,295383
193881,308884
293281,295380
293281,295381
293281,295382
293281,295383
293281,308884
295380,295381
295380,295382
295380,295383
295380,308884
295381,295382
295381,295383
295381,308884
295382,295383
295382,308884
295383,308884
128375,324041
128375,365145
128375,365146
128375,392777
324041,365145
324041,365146
324041,392777
359354,365145
359354,377985
359354,377986
365145,365146
365145,375077
365145,375078
365145,375079
365145,375227
365145,375228
365145,375229
365145,377985
365145,377986
365145,392777
365146,392777
375077,375078
375077,375079
375078,375079
375227,375228
375227,375229
375228,375229
377985,377986
59062,118092
59062,145576
59062,191260
59062,329217
118092,145576
118092,191260
118092,207420
118092,231345
118092,329217
118092,378983
145576,191260
145576,207420
145576,329217
191260,207420
191260,329217
207420,231345
207420,378983
231345,378983
66224,76407
66224,205849
66224,278609
66224,364196
66224,364197
66224,382333
76407,205849
76407,278609
76407,364196
76407,364197
76407,382333
205849,278609
205849,364196
205849,364197
205849,382333
278609,364196
278609,364197
278609,382333
364196,364197
364196,382333
364197,382333
166086,229184
166086,315404
166086,370631
166086,370632
166086,397269
229184,315404
229184,370631
229184,370632
229184,397269
315404,370631
315404,370632
315404,397269
370631,370632
370631,397269
370632,397269
91211,187321
91211,244752
91211,370685
91211,370686
91211,370687
187321,244752
187321,370685
187321,370686
187321,370687
244752,370685
244752,370686
244752,370687
370685,370686
370685,370687
370686,370687
49336,58948
49336,198252
49336,198253
49336,198254
49336,198255
49336,198256
58948,198252
58948,198253
58948,198254
58948,198255
58948,198256
198252,198253
198252,198254
198252,198255
198252,198256
198253,198254
198253,198255
198253,198256
198254,198255
198254,198256
198255,198256
129377,137773
129377,165453
129377,204391
129377,211224
129377,211225
129377,211226
129377,211227
129377,211228
129377,212185
129377,212186
129377,212187
129377,215135
129377,215136
129377,215137
137773,165453
137773,204391
137773,211224
137773,211225
137773,211226
137773,211227
137773,211228
137773,212185
137773,212186
137773,212187
137773,215135
137773,215136
137773,215137
165453,204391
165453,211224
